ID,ID2,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,Eref,CMD,MAR,RH
S02,Sweetwater River,32.89928,-116.5849,1168,15.6,23.7,9.5,14.2,474,43,54.1,556.6,20,3918,1479,599,337,64,342,278,1,-14.1,43,1401,1142,-9999,56
S07,West Fork Mojave River,34.28425,-117.375389,1092,16.2,24.6,9.8,14.8,422,38,61.9,649.8,17,4104,1366,675,348,42,351,309,1,-12.8,41.8,1316,1122,-9999,60
S08,Redwood Creek,36.69096,-118.909607,1682,11.9,21.4,5.6,15.8,682,40,32.1,535.1,68,2676,2515,287,275,116,309,193,14,-23.2,38.3,1079,754,-9999,60
S10,North Fork Middle Fork Tule,36.20081,-118.650917,1288,14.7,24.2,7.9,16.2,586,29,42.2,846.1,32,3591,1793,575,332,64,336,272,3,-16,40.6,1167,895,-9999,63
S11,Mill Creek,34.07808,-116.87558,1990,10.3,19.3,3.8,15.5,539,63,37.7,305.9,100,2211,2941,146,237,149,297,148,17,-26.8,36.6,1131,884,-9999,55
S15,Rock Creek,43.37876,-122.952072,1168,11.7,20.8,4.4,16.4,2743,377,7.9,55.2,74,2629,2573,297,306,100,330,229,66,-16.4,38.2,900,334,-9999,67
S16,O'Neil Creek,41.80979,-123.118874,1092,12.8,23.5,4.4,19.1,1046,109,21.8,215.7,67,3005,2357,480,299,108,325,217,19,-17.9,40.2,1044,672,-9999,62
S17,Deep Creek,41.66546,-123.113411,680,14.1,25.7,4.1,21.6,164,52,147.2,496,63,3460,2111,716,300,102,322,220,2,-19.3,42.8,1194,1060,-9999,57
S18,Little Jameson Creek,39.74298,-120.70401,1593,10.5,20.5,3.3,17.3,1182,108,17.3,191,112,2298,2947,202,241,142,293,151,59,-26.3,38.5,1047,647,-9999,55
S29,Oregon Creek,39.39442,-121.083023,440,17.4,27.2,9.9,17.3,1280,65,21.4,417.8,15,4539,1223,963,347,41,345,304,2,-13.8,44.5,1349,878,-9999,56
S32,Wawona,37.539,-119.653999,1214,14.3,23.8,8.1,15.7,853,27,28.5,885.6,32,3468,1857,515,305,99,318,219,5,-20.1,41.2,1251,863,-9999,55
S36,Deer Creek,42.27411,-123.636169,393,13.5,23.2,4.9,18.4,1671,150,14.1,154.6,53,3233,2100,499,302,100,311,211,20,-17.4,42.8,1200,730,-9999,54
