ID,ID2,Latitude,Longitude,Elevation,Tmax01,Tmax02,Tmax03,Tmax04,Tmax05,Tmax06,Tmax07,Tmax08,Tmax09,Tmax10,Tmax11,Tmax12,Tmin01,Tmin02,Tmin03,Tmin04,Tmin05,Tmin06,Tmin07,Tmin08,Tmin09,Tmin10,Tmin11,Tmin12,Tave01,Tave02,Tave03,Tave04,Tave05,Tave06,Tave07,Tave08,Tave09,Tave10,Tave11,Tave12,PPT01,PPT02,PPT03,PPT04,PPT05,PPT06,PPT07,PPT08,PPT09,PPT10,PPT11,PPT12,Rad01,Rad02,Rad03,Rad04,Rad05,Rad06,Rad07,Rad08,Rad09,Rad10,Rad11,Rad12,DD_0_01,DD_0_02,DD_0_03,DD_0_04,DD_0_05,DD_0_06,DD_0_07,DD_0_08,DD_0_09,DD_0_10,DD_0_11,DD_0_12,DD5_01,DD5_02,DD5_03,DD5_04,DD5_05,DD5_06,DD5_07,DD5_08,DD5_09,DD5_10,DD5_11,DD5_12,DD_18_01,DD_18_02,DD_18_03,DD_18_04,DD_18_05,DD_18_06,DD_18_07,DD_18_08,DD_18_09,DD_18_10,DD_18_11,DD_18_12,DD18_01,DD18_02,DD18_03,DD18_04,DD18_05,DD18_06,DD18_07,DD18_08,DD18_09,DD18_10,DD18_11,DD18_12,NFFD01,NFFD02,NFFD03,NFFD04,NFFD05,NFFD06,NFFD07,NFFD08,NFFD09,NFFD10,NFFD11,NFFD12,PAS01,PAS02,PAS03,PAS04,PAS05,PAS06,PAS07,PAS08,PAS09,PAS10,PAS11,PAS12,Eref01,Eref02,Eref03,Eref04,Eref05,Eref06,Eref07,Eref08,Eref09,Eref10,Eref11,Eref12,CMD01,CMD02,CMD03,CMD04,CMD05,CMD06,CMD07,CMD08,CMD09,CMD10,CMD11,CMD12,RH01,RH02,RH03,RH04,RH05,RH06,RH07,RH08,RH09,RH10,RH11,RH12
S02,Sweetwater River,32.89928,-116.5849,1168,15.3,17,19.6,19.8,20.9,28.4,31.8,33,31,26.1,17.7,13.7,3.1,4.6,5.3,5.3,6,11.2,13.5,14.9,13.9,10.6,3.5,1.5,9.2,10.8,12.5,12.5,13.5,19.8,22.7,24,22.4,18.3,10.6,7.6,41,22,58,12,21,4,25,3,61,33,59,48,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6,4,2,1,0,0,0,0,0,0,2,9,136,165,234,228,266,442,547,587,522,412,171,97,277,197,180,175,153,23,4,3,12,47,223,318,0,1,2,4,6,78,146,187,144,46,1,0,23,24,28,27,29,30,31,31,30,31,23,19,0,0,0,0,0,0,0,0,0,0,0,0,52,63,99,115,137,177,199,189,147,104,60,44,10,41,41,104,116,173,175,187,86,71,1,0,61,61,56,56,55,51,50,50,52,55,56,67
S07,West Fork Mojave River,34.28425,-117.375389,1092,15.3,17.1,20.4,19.9,21.5,28.2,31.7,32.1,29.7,24.4,16.9,13.1,3.8,5.4,5.9,6.5,7.6,12.7,15,16.2,15.8,12.5,4.8,2.3,9.6,11.2,13.2,13.2,14.5,20.4,23.4,24.1,22.7,18.5,10.8,7.7,54,36,35,29,29,4,17,2,55,26,30,53,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6,3,1,1,0,0,0,0,0,0,2,9,147,174,255,248,298,462,569,592,531,416,178,99,265,193,161,157,125,18,3,2,11,45,216,316,0,1,4,5,10,91,168,191,151,49,1,0,25,26,29,28,30,30,31,31,30,31,26,22,0,0,0,0,0,0,0,0,0,0,0,0,48,60,99,111,135,169,192,175,130,89,53,39,0,23,64,82,106,165,175,173,75,63,23,0,63,63,56,59,58,56,53,56,60,64,62,72
S08,Redwood Creek,36.69096,-118.909607,1682,11.6,12.6,15.2,13.9,16,24.6,27.4,27.5,25.1,20.5,11.3,8.5,-1.6,-.6,.8,1.6,5.4,11.4,12.8,13.1,10.9,7.8,-.9,-3.4,5,6,8,7.8,10.7,18,20.1,20.3,18,14.1,5.2,2.6,41,101,18,106,46,9,11,2,18,52,121,181,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,19,13,7,4,0,0,0,0,0,0,12,35,42,52,101,95,182,389,467,474,391,285,47,19,405,332,313,308,227,44,15,15,49,135,385,475,0,0,0,0,2,46,80,87,50,8,0,0,11,12,17,19,28,30,31,31,30,30,12,7,2,2,0,3,1,0,0,0,0,0,8,16,39,48,78,85,102,144,163,147,112,75,39,32,0,0,60,0,56,135,152,146,94,24,0,0,56,57,54,60,66,61,58,58,58,61,59,67
S10,North Fork Middle Fork Tule,36.20081,-118.650917,1288,12.4,14.3,17.1,17.3,19.2,27.7,30.3,30.4,27.8,23,13,9.8,2,3.3,4.5,5.4,7.8,14,15.6,16,14,10.9,2.7,.4,7.2,8.8,10.8,11.4,13.5,20.8,22.9,23.2,20.9,17,7.9,5.1,44,82,21,98,41,7,11,1,15,38,90,142,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,11,6,3,1,0,0,0,0,0,0,5,18,83,115,184,191,268,474,555,563,477,371,98,45,339,253,224,207,152,15,4,4,20,69,305,398,0,0,1,2,6,98,154,163,107,27,0,0,20,22,27,27,30,30,31,31,30,31,22,16,1,0,0,0,0,0,0,0,0,0,2,4,39,50,82,96,117,160,176,160,120,81,41,31,0,0,61,0,76,152,165,159,105,43,0,0,66,64,60,62,64,60,58,59,60,63,66,76
S11,Mill Creek,34.07808,-116.87558,1990,10,11.6,14.3,14.6,16.1,23.2,26.1,26.4,24.2,20.2,11.5,8.2,-3,-1.7,-1,-.3,1.5,7.8,10.3,10.9,9.4,5.6,-2.1,-4.5,3.5,4.9,6.6,7.2,8.8,15.5,18.2,18.7,16.8,12.9,4.7,1.8,67,41,50,41,36,4,48,5,87,54,47,62,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,29,18,10,5,1,0,0,0,0,0,14,42,25,36,69,81,128,313,410,423,355,248,41,14,453,362,355,326,285,94,33,31,69,168,399,499,0,0,0,0,1,16,40,51,34,5,0,0,8,9,12,13,19,29,31,31,29,28,9,5,5,2,1,2,2,0,0,0,0,0,4,7,40,50,81,95,114,147,163,151,116,84,44,34,0,9,31,54,79,144,116,146,29,29,0,0,56,56,51,53,54,54,54,55,56,56,55,64
S15,Rock Creek,43.37876,-122.952072,1168,9.8,12,13.4,14,18.6,25.2,28.6,27.5,23.2,19.5,9.7,9,1.6,3.1,2.6,1.8,6.6,10.3,13.5,12.9,10.8,9.1,1.2,2.7,5.7,7.6,8,7.9,12.6,17.7,21,20.2,17,14.3,5.4,5.8,189,348,254,110,44,27,20,17,40,130,311,952,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,16,9,7,4,0,0,0,0,0,0,11,15,53,84,102,98,241,381,497,471,360,290,51,57,385,288,312,304,177,48,9,16,66,131,377,375,1,1,2,2,10,42,104,85,36,16,1,1,20,22,23,20,29,30,31,31,30,31,18,23,6,4,2,3,0,0,0,0,0,0,18,21,23,33,58,77,109,146,161,137,88,56,24,20,0,0,0,0,65,119,141,119,48,0,0,0,72,70,65,61,63,56,57,58,63,67,71,76
S16,O'Neil Creek,41.80979,-123.118874,1092,10.4,12.6,15.2,16.3,20.8,27.8,31.3,30.4,26.1,21.2,11,8.4,.6,1.8,2.4,2,6.7,11,15.4,15,11.4,9.5,.5,1.5,5.5,7.2,8.8,9.1,13.7,19.4,23.4,22.7,18.8,15.3,5.7,4.9,56,151,79,37,10,7,7,5,8,29,94,376,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,17,10,6,2,0,0,0,0,0,0,10,19,50,77,123,130,274,433,568,547,413,321,56,43,391,298,288,267,146,26,3,5,40,105,368,402,1,1,3,3,14,72,167,147,62,23,1,0,17,18,22,20,29,30,31,31,30,31,16,19,2,2,0,1,0,0,0,0,0,0,5,12,27,39,67,90,125,164,177,153,104,64,29,21,0,0,0,53,114,158,170,148,97,36,0,0,67,65,59,55,57,52,55,56,57,64,65,77
S17,Deep Creek,41.66546,-123.113411,680,10.6,13.9,17.3,19.5,24.1,31.3,35,33.8,29.3,24.4,12.2,8.4,-.3,1.7,3.1,3.1,7.4,12.1,16.2,15.5,11.4,9.2,.3,.7,5.2,7.8,10.2,11.3,15.8,21.7,25.6,24.6,20.3,16.8,6.3,4.5,9,13,4,5,5,5,9,3,3,5,21,49,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,19,8,4,1,0,0,0,0,0,0,9,21,44,89,165,189,335,499,637,608,459,365,64,37,401,282,244,208,93,11,1,2,24,72,353,415,1,1,5,7,27,116,237,207,94,37,1,0,14,18,24,23,30,30,31,31,30,31,15,17,0,0,0,0,0,0,0,0,0,0,1,2,28,42,75,104,144,187,203,175,121,77,32,22,20,29,72,99,140,182,195,172,118,72,11,0,64,61,56,50,51,47,50,50,50,55,61,75
S18,Little Jameson Creek,39.74298,-120.70401,1593,9.9,11.3,14.6,15.1,17.5,25.9,28.5,28.1,25.3,20.8,9.2,6.2,-3.3,-1.9,-1.1,-.6,3.6,9.1,10.8,10.6,7.7,5.7,-2.6,-3.5,3.3,4.7,6.8,7.2,10.5,17.5,19.6,19.4,16.5,13.2,3.3,1.4,22,183,28,104,42,24,9,4,11,100,251,235,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30,19,10,5,0,0,0,0,0,0,23,47,24,34,72,82,178,375,454,445,346,258,26,12,458,369,351,324,230,52,18,23,75,159,441,513,0,0,0,0,2,39,69,66,31,5,0,0,7,9,12,12,25,30,31,31,29,28,8,7,2,8,1,4,1,0,0,0,0,0,31,34,32,41,72,90,114,158,173,154,112,73,31,24,10,0,45,0,71,134,164,149,101,0,0,0,55,56,50,50,57,51,50,50,49,54,59,71
S29,Oregon Creek,39.39442,-121.083023,440,16.7,18.8,22.1,22.1,24.1,32.9,35.7,35.4,32.7,28,17.1,13.5,2.8,5.4,6.6,6.8,10.3,15.1,17.2,16.5,14.3,12,3.2,2.8,9.8,12.1,14.4,14.5,17.2,24,26.4,25.9,23.5,20,10.1,8.1,16,163,28,125,25,13,3,2,9,75,237,242,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5,3,1,0,0,0,0,0,0,0,2,8,152,199,291,285,379,570,662,648,553,464,159,110,260,170,129,122,63,4,1,1,9,27,237,303,0,1,8,9,31,184,261,247,168,82,0,0,23,26,30,29,31,30,31,31,30,31,23,23,0,0,0,0,0,0,0,0,0,0,2,2,43,56,95,116,140,193,209,188,139,93,45,33,27,0,67,0,114,179,207,187,130,17,0,0,57,58,54,54,59,51,50,49,50,54,57,70
S32,Wawona,37.539,-119.653999,1214,14.7,16,18.8,18,20,28.2,31,31.1,28.9,23.9,14.5,11.9,-.2,1.7,2.4,3,6.5,12.3,14.1,14.3,11.2,8.6,.2,-.9,7.3,8.8,10.6,10.5,13.3,20.2,22.5,22.7,20.1,16.2,7.4,5.5,16,128,12,102,42,9,7,1,7,45,155,230,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,11,6,3,1,0,0,0,0,0,0,6,16,85,115,177,168,260,456,543,548,451,349,86,51,336,253,232,228,160,19,4,5,26,83,320,385,0,0,1,1,6,87,142,147,88,20,0,0,15,18,22,23,29,30,31,31,30,30,15,12,0,1,0,1,0,0,0,0,0,0,4,6,44,55,90,103,125,168,186,168,130,86,45,36,28,0,78,1,83,159,179,167,123,41,0,0,53,55,50,54,58,54,53,53,50,55,54,66
S36,Deer Creek,42.27411,-123.636169,393,11.4,15.2,18.6,19.5,24,31,34.2,33.3,28.8,24.2,12.3,9.3,.9,2.5,3,2.5,7.2,10.4,12.7,11.5,7.5,6.8,.5,1.9,6.1,8.8,10.8,11,15.6,20.7,23.5,22.4,18.1,15.5,6.4,5.6,103,272,141,56,16,7,8,5,12,47,157,604,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,15,6,3,1,0,0,0,0,0,0,8,16,60,116,182,181,331,471,572,539,394,326,67,53,372,252,226,216,97,16,3,6,48,100,348,382,1,2,6,6,25,96,171,138,52,24,1,1,17,20,24,22,30,30,31,31,29,29,16,20,3,2,0,0,0,0,0,0,0,0,6,14,28,44,79,104,144,188,206,179,122,77,31,22,0,0,0,48,128,181,198,174,111,31,0,0,65,60,52,49,51,44,43,42,42,49,61,74
