PlotID,Year,Area,StArea,Count,
1,2002,,,2,
1,2003,0,0,2,
1,2006,0,,1,
1,2007,,,1,
2,2000,3.435,2.751624309,4,
2,2001,3.435,2.358535122,8,
2,2002,5.9696,0.300306052,449,
2,2003,7,4.117532983,146,
2,2004,7.14,3.755837191,60,
2,2005,19.2806,2.109630052,326,
2,2006,6.321,2.394035434,306,
2,2007,0,,25,
2,2008,,,1, 
3,2000,6.966,1.065825601,108,
3,2001,7.74,2.422394513,231,
3,2002,8.7776,1.535319362,474,
3,2003,26,2.414844576,1024,
3,2004,7.94,1.969447807,388,
3,2005,9.84,2.601701928,488,
3,2006,4.488,3.422711008,208,
3,2007,0.0915,0.095361301,7,
3,2008,0.0915,0.183,3,
3,2009,,,2,
4,2000,18.3065,1.710310331,669,
4,2001,22.12,2.775175725,1096,
4,2002,15.3,1.787228112,914,
4,2003,17,4.689296279,835,
4,2004,54.64,11.4158684,130,
4,2005,60.41,0.918917312,582,
4,2006,12.6356,6.698633993,536,
4,2007,0.0825,0.165,8,
4,2008,0,,3,
4,2009,0.132,0.264,3,
4,2010,,,2,
4,2011,0.132,0.264,2,
4,2013,,,2,
4,2014,0,,1,
5,2000,25.11,2.197715965,460,
5,2001,27.621,11.46707491,790,
5,2002,27.841,8.574930311,2099,
5,2003,28,5.00649672,1713,
5,2004,27.65,16.56274677,166,
5,2005,29.535,4.491069516,232,
5,2006,21.436,8.595919378,210,
5,2007,16.878,11.47373326,21,
5,2008,3.9168,7.8336,4,
5,2009,12.7455,25.491,2,
5,2010,,,2,
5,2011,12.7455,13.26829493,3,
5,2013,,,3,
5,2017,0,,1,
6,2000,17.532,7.261996141,19,
6,2001,74.333,12.71772963,361,
6,2002,69.96,7.714777175,1227,
6,2003,56,8.711206534,1251,
6,2004,52.6,13.41388124,241,
6,2005,124.8975,18.37902947,98,
6,2006,31.992,11.08356178,66,
6,2007,58.656,18.03196726,47,
6,2008,75.3159,13.01056465,56,
6,2009,81.7515,16.40973211,59,
6,2010,,,26,
6,2011,81.7515,16.44904797,26,
6,2013,,,26,
6,2016,0,,1,
6,2017,6.2,7.143936823,3,
7,2000,43.47,10.48616362,65,
7,2001,41.5125,10.16765047,120,
7,2002,47.04,4.182569684,278,
7,2003,2,1.330367071,35,
8,2000,7.182,2.692677364,18,
8,2001,7.182,2.900643245,33,
8,2002,7.182,3.396965469,24,
8,2003,16,7.597970557,200,
8,2004,13.45,8.754599011,73,
8,2005,,,25,
9,2000,5.986,2.485024144,14,
9,2001,3.034,1.827070339,23,
9,2002,2.1775,1.50927608,15,
9,2003,20,4.71136611,201,
9,2004,15.92,6.352354805,52,
9,2005,0,,21,
9,2006,0,,1,
10,2000,7.25,2.916681356,26,
10,2001,6.9,2.558552686,50,
10,2002,5.795,1.880029134,51,
10,2003,9,5.471670276,121,
10,2004,8.01,6.026888251,47,
10,2005,7.5828,1.986891145,37,
10,2006,3.1521,1.61816065,28,
10,2007,,,2,
11,2000,6.7165,2.427894443,26,
11,2001,6.4168,2.208358123,50,
11,2002,7.524,2.606227562,55,
11,2003,8,4.651657427,83,
