"","X","ID_Year","Site.Lat","Site","Year","Drought","PC1","PC2","PC3","PC4","PC5"
"1",1,"S02_2010","32.9_S02","S02",2010,"W",-0.961485717478883,0.280671945731053,0.944111726898464,0.0654635184793324,-0.277618888108828
"2",2,"S02_2011","32.9_S02","S02",2011,"W",-0.566303081195578,-0.197857259791853,0.657640181710482,-0.00317157991281922,-0.182496149543488
"3",3,"S02_2012","32.9_S02","S02",2012,"W",0.0666544161906934,-0.127014777756781,0.779072855914022,0.0100260803451946,-0.402455592084948
"4",4,"S02_2013","32.9_S02","S02",2013,"W",0.674967876067947,0.280687294299236,0.0925534259277123,0.309196285727453,-0.456596078167086
"5",5,"S02_2014","32.9_S02","S02",2014,"W",-0.314462984924757,-0.00427646616601593,0.494027911595859,0.549260704781048,-0.488635486177303
"6",6,"S07_2010","34.3_S07","S07",2010,"W",0.815087418475377,0.80791443610769,-0.0729692031491592,-0.448375990649301,-0.371957183794182
"7",7,"S07_2011","34.3_S07","S07",2011,"W",0.770606273179327,-0.00908969176938101,-0.120097000615214,0.265609590415593,-0.500217472071064
"8",8,"S07_2014","34.3_S07","S07",2014,"W",-0.309010349432515,-0.26590899177115,0.620506179841693,-0.202193522109797,-0.297688674498205
"9",9,"S07_2015","34.3_S07","S07",2015,"W",-0.207465554705928,-0.26222083490469,0.020280028860159,0.468606541527067,-0.536358190463922
"10",10,"S07_2016","34.3_S07","S07",2016,"W",0.345042168188407,0.295072645795357,0.443357415189486,0.164768354664368,-0.141090972892865
"11",11,"S08_2011","36.7_S08","S08",2011,"W",-0.180882520623716,-0.00283021590585381,1.1958858125418,0.427838982675397,0.0442593914366033
"12",12,"S08_2012","36.7_S08","S08",2012,"W",0.406301721883502,-0.26919250304648,1.22637505054314,0.529560775595949,0.075479859359186
"13",13,"S08_2013","36.7_S08","S08",2013,"W",-0.0335658175171992,-0.533573126041961,1.1847922359079,0.100760226093892,0.249225766386012
"14",14,"S08_2014","36.7_S08","S08",2014,"W",1.98935497824329,0.260473124356057,0.783415507069458,0.617016005750377,0.186641434933832
"15",15,"S10_2010","36.2_S10","S10",2010,"W",-0.868350000181609,-0.0306085209358273,1.04040919769254,0.422543745503144,0.123434671636314
"16",16,"S10_2011","36.2_S10","S10",2011,"W",-0.550060488375412,0.539057288679409,0.937851992453707,0.504319307695244,0.0202576110819623
"17",17,"S10_2012","36.2_S10","S10",2012,"W",0.639402159510029,0.177828358035092,0.282612242310662,0.298076761816507,0.133324586790376
"18",18,"S10_2013","36.2_S10","S10",2013,"W",0.150609328625,-0.235153313543845,0.886760619408391,0.0204864573449207,0.186576308557097
"19",19,"S10_2014","36.2_S10","S10",2014,"W",-0.150449659123492,0.483124885776576,0.973444985343957,0.599650250313658,0.0423007529666687
"20",20,"S10_2015","36.2_S10","S10",2015,"W",0.387871599383378,-0.167157480754283,0.487342666104423,0.258304956800906,0.19840878148115
"21",21,"S10_2016","36.2_S10","S10",2016,"W",1.5817637721625,-0.344475290419863,0.914805885797337,0.49008165365346,0.233521044406606
"22",22,"S11_2010","34.1_S11","S11",2010,"W",-0.129862946051632,-0.759056987724037,-0.283735173906563,-0.560897031067433,-0.123747043795387
"23",23,"S11_2011","34.1_S11","S11",2011,"W",0.0418253448604773,-1.03155761752141,-0.525297877103102,-0.0690828503361912,-0.514500444697956
