Site,ID,ID2,Site_Lat,Lat,Long,Elevation,Lat_spei,Long_spei,SPEI_2007,SPEI_2008,SPEI_2009,SPEI_2010,SPEI_2011,SPEI_2012,SPEI_2013,SPEI_2014,SPEI_2015,SPEI_2016
1,S02,Sweetwater River,1_32.9,32.89928,-116.5849,1168,32.75,-116.75,,,,,,,,,,
12,S11,Mill Creek,12_34.1,34.07808,-116.87558,1990,34.25,-116.75,,,,,,,,,,
2,S07,West Fork Mojave River,2_34.3,34.28425,-117.37539,1092,34.25,-117.25,,,,,,,,,,
3,S10,North Fork Middle Fork Tule,3_36.2,36.20081,-118.65092,1288,36.25,-118.75,,,,,,,,,,
4,S08,Redwood Creek,4_36.7,36.69096,-118.90961,1682,36.75,-118.75,,,,,,,,,,
5,S32,Wawona,5_37.5,37.539,-119.654,1214,35.75,-119.75,,,,,,,,,,
6,S29,Oregon Creek,6_39.4,39.39442,-121.08302,440,39.25,-121.25,,,,,,,,,,
7,S18,Little Jameson Creek,7_39.7,39.74298,-120.70401,1593,39.75,-120.75,,,,,,,,,,
8,S17,Deep Creek,8_41.7,41.66546,-123.11341,680,41.75,-123.25,,,,,,,,,,
9,S16,O'Neil Creek,9_41.8,41.80979,-123.11887,1092,41.75,-123.25,,,,,,,,,,
10,S36,Deer Creek,10_42.3,42.27411,-123.63617,393,42.25,-123.75,,,,,,,,,,
11,S15,Rock Creek,11_43.4,43.37876,-122.95207,1168,43.25,-122.75,,,,,,,,,,
