Site,ID,ID2,Site_Lat,Lat,Long,Elevation,Lat_spei,Long_spei,SPEI_2007,SPEI_2008,SPEI_2009,SPEI_2010,SPEI_2011,SPEI_2012,SPEI_2013,SPEI_2014,SPEI_2015,SPEI_2016
1,S02,Sweetwater River,1_32.9,32.89928,-116.5849,1168,32.75,-116.75,-1.6821722984313965,-0.5386579036712646,-0.9985431432723999,0.8979031443595886,0.510002851486206,-0.5706225633621216,-0.9797968864440918,-1.712352991104126,-1.3214354515075684,-1.259979248046875
12,S11,Mill Creek,12_34.1,34.07808,-116.87558,1990,34.25,-116.75,-1.7237719297409058,-0.17632313072681427,-0.7464929819107056,0.8645411133766174,0.6399672627449036,-0.35368216037750244,-0.758017361164093,-1.437199354171753,-0.6125758290290833,-1.0775099992752075
2,S07,West Fork Mojave River,2_34.3,34.28425,-117.37539,1092,34.25,-117.25,-1.503467321395874,-0.11524522304534912,-0.7772511839866638,0.9538037180900574,0.7160303592681885,-0.55778968334198,-0.8880302906036377,-1.6850093603134155,-0.8784630298614502,-1.0716265439987183
3,S10,North Fork Middle Fork Tule,3_36.2,36.20081,-118.65092,1288,36.25,-118.75,-0.8807879090309143,0.07663676887750626,-0.20399141311645508,1.1124171018600464,1.1817374229431152,-0.32244405150413513,-0.9291136264801025,-1.798789143562317,-0.7251754999160767,-0.16672469675540924
4,S08,Redwood Creek,4_36.7,36.69096,-118.90961,1682,36.75,-118.75,-1.2339478731155396,-0.050438571721315384,-0.23410426080226898,0.9934512972831726,1.252457618713379,-0.5181291103363037,-0.8360649943351746,-1.8190412521362305,-0.5729978680610657,0.03759670630097389
5,S32,Wawona,5_37.5,37.539,-119.654,1214,35.75,-119.75,-0.32675814628601074,0.30477041006088257,-0.14402438700199127,1.4792759418487549,1.6494897603988647,0.2911234200000763,-0.7878220677375793,-1.8574495315551758,-1.3941962718963623,-0.2756779193878174
6,S29,Oregon Creek,6_39.4,39.39442,-121.08302,440,39.25,-121.25,-1.2905397415161133,-0.8059288263320923,-0.5829247832298279,0.5917884111404419,0.8521463871002197,-0.964013934135437,-0.8910396695137024,-1.7871417999267578,-1.1589488983154297,0.28727516531944275
7,S18,Little Jameson Creek,7_39.7,39.74298,-120.70401,1593,39.75,-120.75,-1.2465686798095703,-1.1493539810180664,-0.5913350582122803,0.330176442861557,1.1309683322906494,-0.9420478343963623,-0.6824718713760376,-1.4409561157226562,-0.9150210022926331,0.4525473713874817
8,S17,Deep Creek,8_41.7,41.66546,-123.11341,680,41.75,-123.25,-0.2603159248828888,-0.35066792368888855,-1.304386019706726,-0.013595717027783394,0.6380839347839355,-0.263492614030838,-0.36844682693481445,-1.4376518726348877,-0.9542492628097534,0.451564759016037
9,S16,O'Neil Creek,9_41.8,41.80979,-123.11887,1092,41.75,-123.25,-0.2603159248828888,-0.35066792368888855,-1.304386019706726,-0.013595717027783394,0.6380839347839355,-0.263492614030838,-0.36844682693481445,-1.4376518726348877,-0.9542492628097534,0.451564759016037
10,S36,Deer Creek,10_42.3,42.27411,-123.63617,393,42.25,-123.75,-0.1707727015018463,-0.3440653681755066,-1.3146127462387085,0.08276030421257019,0.7428622245788574,-0.04299665987491608,-0.29145610332489014,-1.3774467706680298,-0.9288861751556396,0.5606279969215393
11,S15,Rock Creek,11_43.4,43.37876,-122.95207,1168,43.25,-122.75,0.09349296241998672,0.08715119957923889,-0.9269194602966309,0.7153350114822388,1.1112593412399292,-0.008432397618889809,0.10422508418560028,-1.2177640199661255,-1.222493290901184,0.4574694037437439
