"","Site","MAT.clim","MAP.clim","CMD.clim","log.MAP.clim"
"1","S02",13.9913888888889,628.033333333333,1017.53333333333,6.44259324361584
"2","S07",14.5047222222222,649.6,967.033333333333,6.47635678884747
"3","S08",10.0669444444444,969.433333333333,691.4,6.87671170835068
"4","S10",12.8841666666667,860.833333333333,803.3,6.75790091232568
"5","S11",8.65444444444444,782.2,763.366666666667,6.66211046232141
"6","S15",10.2619444444444,2547.8,333.033333333333,7.84298552067569
"7","S16",11.1744444444444,966.1,655.066666666667,6.87326734852346
"8","S17",12.4708333333333,173.266666666667,996.4,5.15483183353928
"9","S18",8.71388888888889,1361.56666666667,633.466666666667,7.21639127651671
"10","S29",15.5572222222222,1412.4,854.833333333333,7.25304566405423
"11","S32",12.3713888888889,1059.66666666667,807.6,6.9657096722427
"12","S36",12.1025,1519.13333333333,713.666666666667,7.32589527578989
